#drinks item	price	quantity
[784]Acqua Del Piatto Merlot	10000	10
[3325]jar of fermented pickle juice	10000	100
[6571]Dreadsylvanian grimlet	30000	10
[8475]asbestos thermos	3333	10
[8553]emergency margarita	20000	10
[8554]vintage smart drink	20000	10
[8737]perfect cosmopolitan	500	100
[8738]perfect negroni	500	100
[8739]perfect dark and stormy	500	100
[8740]perfect mimosa	500	100
[8741]perfect old-fashioned	500	100
[8742]perfect paloma	500	100
[8994]Sacramento wine	500	100
[9036]hacked gibson	1000	100
[9370]low tide martini	150	50
[9371]shroomtini	150	50
[9372]morning dew	150	50
[9373]whiskey squeeze	150	50
[9374]great old fashioned	150	50
[9375]Gnomish sagngria	150	50
[9376]vodka stinger	150	50
[9377]extremely slippery nipple	150	50
[9378]piscatini	150	50
[9379]Churchill	150	50
[9380]soilzerac	150	50
[9381]London frog	150	50
[9382]nothingtini	150	50
[9383]eighth plague	150	50
[9384]single entendre	150	50
[9385]reverse Tantalus	150	50
[9386]elemental caipiroska	150	50
[9387]Feliz Navidad	150	50
[9388]Bloody Nora	150	50
[9389]moreltini	150	50
[9390]hell in a bucket	150	50
[9391]Newark	150	50
[9392]R'lyeh	150	50
[9393]Gnollish sangria	150	50
[9394]vodka barracuda	3000	10
[9395]Mysterious Island iced tea	150	50
[9396]drive-by shooting	150	50
[9397]gunner's daughter	150	50
[9398]dirt julep	150	50
[9399]Simepore slime	150	50
[9400]Phil Collins	150	50
#food item	price	quantity
[764]spectral pickle	1000	25
[1592]hot hi mein	1000	25
[1593]cold hi mein	1000	25
[1594]spooky hi mein	1000	25
[1595]stinky hi mein	1000	25
[1596]sleazy hi mein	1000	25
[2527]fishy fish lasagna	6000	15
[3327]extra-greasy slider	10000	100
[5256]toasted brie	1000	100
[6518]accidental mutton	10000	10
[7797]karma shawarma	10000	10
[9219]animal part cracker	150	50
[9486]Affirmation Cookie	10	12500
[10040]moosemeat pie	3000	10
[10070]Crimboysters Rockefeller	10000	50
[10417]green and red bean	150	50
[10725]bowl full of jelly	2000	10
#spleen item	price	quantity -- should purchase at adv gain * 1000 meat??
[2660]not-a-pipe	6000	25
[3326]voodoo snuff	10000	25
[3368]glimmering roc feather	5000	25
[3440]prismatic wad	4000	25
[4001]agua de vida	5000	25
[5198]gooey paste	5000	25
[5199]beastly paste	5000	25
[5200]oily paste	5000	25
[5201]ectoplasmic paste	5000	25
[5202]greasy paste	5000	25
[5203]bug paste	5000	25
[5204]hippy paste	5000	25
[5205]orc paste	5000	25
[5206]demonic paste	5000	25
[5207]indescribably horrible paste	5000	25
[5208]fishy paste	5000	25
[5209]goblin paste	5000	25
[5210]pirate paste	5000	25
[5211]chlorophyll paste	5000	25
[5212]strange paste	5000	25
[5213]Mer-kin paste	5000	25
[5214]slimy paste	5000	25
[5215]penguin paste	5000	25
[5216]elemental paste	5000	25
[5217]cosmic paste	5000	25
[5218]hobo paste	5000	25
[5219]Crimbo paste	5000	25
[5379]groose grease	5000	25
[5897]Unconscious Collective Dream Jar	5000	25
[6154]carrot juice	3000	25
[7006]handful of Smithereens	1000	25
[7065]grim fairy tale	5000	25
[7773]transdermal smoke patch	2000	25
[8066]powdered gold	5000	25
[8214]nasty snuff	1000	25
[8583]cute mushroom	5500	25
[8624]cuppa Activi tea	5500	25
[8733]octolus oculus	1000	25
[9291]hot jelly	500	100
[9292]cold jelly	500	100
[9293]spooky jelly	500	100
[9294]sleaze jelly	500	100
[9296]stench jelly	500	100
#chocolates item	price	quantity
[4462]chocolate seal-clubbing club	1000	500
[4463]chocolate turtle totem	1000	500
[4464]chocolate pasta spoon	1000	500
[4465]chocolate saucepan	1000	500
[4466]chocolate disco ball	1000	500
[4467]chocolate stolen accordion	1000	500
#mats item	price	quantity
[24]ten-leaf clover	2000	20
[196]disassembled clover	2000	20
[304]dry noodles	140	50
[330]glass of goat's milk	333	500
[346]scrumptious reagent	140	500
[476]hellion cube	500	25
[500]Elf Farm Raffle ticket	200	100
[704]hamethyst	750	500
[705]baconstone	750	500
[706]porquoise	2000	500
[1451]hot wad	200	500
[1452]cold wad	200	500
[1453]spooky wad	200	500
[1454]stench wad	200	500
[1455]sleaze wad	200	500
[1551]bottle of Domesticated Turkey	140	500
[1552]bottle of Definit	140	500
[1553]bottle of Calcutta Emerald	140	500
