#item	amount -- TODO: organize this
[3393]Oscus's neverending soda	1
[6593]defective Game Grid token	1
[9676]mime army shotglass	1
[9503]License to Chill	1
[10867]potato alarm clock	1
[9104]Time-Spinner	1
[9592]mumming trunk	1
[9493]Kremlin's Greatest Briefcase	1
[9529]genie bottle	1
[9573]portable pantogram	1
[9508]Asdon Martin keyfob	1
[9690]January's Garbage Tote	1
[9987]latte lovers member's mug	1
[9928]Bastille Battalion control rig	1
[10229]lucky gold ring	1
[10335]diabolic pizza cube	1
[9924]Special Seasoning	0
# 2019 IotM
[10058]Kramco Sausage-o-Matic™	1
[10165]mint condition Lil' Doctor™ bag	1
[10242]vampyric cloake	1
[10251]Fourth of May Cosplay Saber	1
[10254]hewn moon-rune spoon	1
[10258]Beach Comb	1
[10333]Eight Days a Week Pill Keeper	1
[187]loose teeth	0
[705]baconstone	0
[704]hamethyst	0
[44]worthless gewgaw	0
[45]worthless knick-knack	0
[43]worthless trinket	0
[1593]cold hi mein	0
[1592]hot hi mein	0
[1595]stinky hi mein	0
[1596]sleazy hi mein	0
[1594]spooky hi mein	0
[9292]cold jelly	0
[9291]hot jelly	0
[9311]sea jelly	0
[9294]sleaze jelly	0
[9293]spooky jelly	0
[9295]stench jelly	0
[237]bottle of gin	0
[787]bottle of rum	0
[1004]bottle of tequila	0
[238]bottle of vodka	0
[328]bottle of whiskey	0
[1005]boxed wine	0
[3225]bottle of sewage schnapps	0
[3463]bottle of sake	0
[243]grapefruit	0
[332]lemon	0
[245]olive	0
[242]orange	0
[1003]soda water	0
[786]strawberry	0
[1553]bottle of Calcutta Emerald	0
[1552]bottle of Definit	0
[1551]bottle of Domesticated Turkey	0
[1555]bottle of Jorge Sinsonte	0
[3497]bottle of Pete's Sake	0
[1556]boxed champagne	0
[1560]cocktail onion	0
[1562]kiwi	0
[1557]kumquat	0
[1561]raspberry	0
[1558]tangerine	0
[1559]tonic water	0
[829]anti-anti-antidote	0
[588]soft green echo eyedrop antidote 	0
[3065]buckyball	0
[9497]exploding cigar	0
[2371]green smoke bomb	0
[3467]bargain flash powder	0
[5401]peppermint parasol	0
[8210]bag of gross foreign snacks	0
[7371]crazy hobo notebook	0
[9452]murderbot live wire	0
[2]seal tooth	0
[630]photoprotoneutron torpedo	0
[2040]patchouli oil bomb	0
[2438]scented massage oil	0
[5678]soggy used band-aid	0
[8425]New Age healing crystal	0
